Mp,C_percent,N_percent,O_percent,DECC,Psi_e_A,piPC05,PCR,Vindex,SpMAD_A,WiA_D/Dt,SpMAD_B(p),MATS2m,MATS5m,MATS5p,MATS8p,MATS1i,MATS7i,GATS4m,GATS8m,GATS2p,GATS2i,GATS4i,GATS6i,SpMax2_Bh(p),SpMax2_Bh(i),SpMin1_Bh(p),SpMin3_Bh(i),P_VSA_p_3,P_VSA_i_2,P_VSA_s_3,P_VSA_s_6,P_VSA_ppp_D,P_VSA_ppp_cyc,Eta_D_epsiA,Eta_psi1,SpMaxA_AEA(dm),SM12_AEA(ri),SdssC,SaasC,mindssC,CATS2D_00_LL,SHED_AL,SHED_LL,Uc,TPSA_efficiency,LOGPcons,SAscore,QEDu,MACCSFP125,Actividad
0.7072,42.3729,6.7797,3.3898,1.8066,7.5819,5.8143,1.2877,0.1702,1.3257,0.6791,1.5839,0.0095,0.0173,0.0641,0.0083,-0.2933,-0.0013,0.6634,0.9933,0.6419,1.0159,1.1752,1.0233,3.8547,3.9608,2.0733,1.7757,156.6814,156.6814,32.5122,52.9303,0.0,159.9164,0.1237,0.6488,0.1065,3.8332,-0.0206,4.5151,-0.0206,13,11.7584,13.0986,4.3219,0.0902,4.1771,3.6223,0.4687,1,Act1
0.6611,42.3729,6.7797,3.3898,1.8066,7.7656,5.8143,1.2877,0.1702,1.3257,0.6791,1.5419,-0.0208,-0.0319,0.0388,0.0028,-0.2639,-0.0741,1.0842,1.0568,0.925,1.0374,1.069,0.8552,3.8368,3.9645,2.0744,1.7735,164.1428,164.1428,39.9736,67.8905,0.0,167.3778,0.1467,0.5649,0.1065,3.8332,-0.1839,2.6619,-0.1839,12,11.2676,10.8074,4.3219,0.1126,3.7967,3.51,0.5802,1,Act1
0.6584,42.3077,5.7692,3.8462,2.051,7.869,5.6308,1.2727,0.1579,1.3109,0.6101,1.5157,-0.0103,-0.0504,-0.0535,0.0149,-0.1415,-0.0095,1.0622,1.1564,1.0801,1.0954,0.8852,0.8336,3.8566,3.9614,2.0558,1.7551,119.4946,119.4946,43.6846,65.25,18.0108,131.4457,0.1458,0.5609,0.1232,3.7557,0.0183,2.095,-0.0375,13,10.7406,13.3441,3.9069,0.1523,3.4968,3.5193,0.8115,1,Act1
0.6911,45.7143,8.5714,8.5714,1.6942,8.0076,5.9186,1.4489,0.2309,1.3136,0.5725,1.6149,0.0513,-0.029,-0.0231,-0.1561,-0.1072,-0.1304,1.1041,1.1453,0.8665,0.8489,0.8986,0.9736,3.8182,3.9221,2.0564,1.4196,111.1475,111.1475,24.4545,78.0753,34.7963,121.9396,0.2095,0.5397,0.1518,3.7939,-0.6813,1.4374,-0.6114,10,9.9759,6.2306,4.2479,0.2847,2.6541,4.0353,0.7426,1,Act1
0.698,50.0,3.125,0.0,0.8028,7.3382,5.7281,1.3426,0.3111,1.3665,0.2534,1.5801,0.0722,-0.1718,-0.1391,0.1074,0.0805,0.0999,1.1796,0.8755,0.9195,1.063,1.2014,0.7806,3.7486,3.8261,2.0544,1.4057,99.912,99.912,15.2768,0.0,18.0108,109.0976,0.0739,0.6829,0.2043,3.6812,0.0,5.8725,0.0,14,0.0,6.2761,3.7004,0.0544,3.2334,4.9187,0.4653,1,Act1
0.671,36.3636,9.0909,6.0606,1.5432,7.8333,5.5517,1.3486,0.3007,1.2365,0.5987,1.4883,0.1783,-0.064,-0.2141,-0.2062,-0.158,-0.0154,0.8547,0.9862,0.84,0.8116,0.8996,0.9528,3.5449,3.6758,1.9918,1.4196,103.6824,71.4628,46.7201,52.9303,34.7963,69.7379,0.1706,0.5577,0.2388,3.2204,-0.5363,1.5642,-0.5363,6,6.1236,4.2073,3.585,0.3479,2.6247,4.0546,0.862,1,Act1
0.6721,42.2222,4.4444,0.0,1.0744,7.4066,5.4348,1.2565,0.2681,1.3161,0.5806,1.4856,-0.019,0.0683,0.1135,-0.0812,-0.2113,-0.1134,0.8305,1.5103,0.8453,1.0366,0.994,1.1237,3.7634,3.8534,2.0629,1.5835,153.6604,114.5117,20.8291,39.1486,0.0,112.364,0.0866,0.6523,0.148,3.4313,0.0,3.4729,0.0,13,7.1615,7.7416,3.7004,0.0206,4.0342,3.7648,0.7644,1,Act1
0.6541,42.3077,0.0,15.3846,1.12,7.8778,6.1084,1.282,0.2114,1.3304,0.3817,1.5019,0.0511,-0.0625,-0.01,-0.1154,-0.1265,0.0311,0.986,0.9844,0.7207,0.7452,1.1652,1.206,3.7829,3.8873,2.1003,1.5098,124.762,124.762,54.2078,133.8276,42.6833,125.1125,0.2024,0.5037,0.1162,4.0722,-0.3323,4.9118,-0.3323,10,5.9902,4.4519,3.8074,0.2236,2.01,4.716,0.6694,1,Act1
0.6306,38.6667,2.6667,5.3333,1.7339,7.419,6.0238,1.2598,0.1704,1.3351,0.4227,1.4607,0.0501,-0.0446,0.0056,0.0147,-0.1548,-0.0436,1.0658,0.9329,0.8626,0.9623,1.2932,1.0557,3.9105,4.0134,2.1467,1.7587,142.9682,142.9682,52.7058,43.9996,18.0108,106.6768,0.0939,0.5864,0.0901,4.104,0.0,8.9322,0.0,16,10.4728,9.5189,3.7004,0.1086,4.4,4.7258,0.6524,1,Act1
0.6434,41.1765,1.9608,3.9216,1.9167,7.6042,5.3058,1.2708,0.2044,1.3059,0.6795,1.484,-0.055,0.0529,0.0512,0.091,-0.0108,-0.0428,1.0681,0.9121,1.1256,1.2021,1.0938,1.0108,3.8492,3.9389,2.0825,1.7399,112.2976,112.2976,18.1862,85.3667,85.3667,104.0622,0.085,0.6174,0.1297,3.4566,0.0,2.5279,0.0,16,12.0364,12.0567,3.7004,0.1343,3.7174,3.9632,0.906,1,Act1
0.6827,45.4545,7.2727,3.6364,1.5692,7.6989,6.5335,1.5174,0.1877,1.3108,0.4674,1.5798,0.0669,0.102,-0.0714,-0.0927,-0.1376,-0.1054,0.7915,1.2004,0.7838,0.9082,0.9358,0.9596,4.0049,4.1217,2.0408,1.7083,149.0293,149.0293,38.3317,50.2899,34.7963,162.186,0.1365,0.5946,0.1096,4.5214,0.1728,1.544,-0.3526,15,9.3035,10.101,4.585,0.1791,3.0417,4.0629,0.5137,1,Act1
0.6434,41.3043,2.1739,2.1739,2.068,7.4048,5.2364,1.3427,0.234,1.3002,0.7457,1.482,-0.0412,0.1317,0.093,-0.1924,-0.1609,-0.1455,1.0955,1.1152,1.0175,1.0813,1.1594,0.7117,3.7554,3.8596,2.0483,1.6185,127.9952,127.9952,25.0586,10.9999,0.0,96.9008,0.0703,0.645,0.137,3.4094,0.0,3.6148,0.0,14,9.9303,11.2461,3.7004,0.044,4.2076,3.2964,0.7091,1,Act1
0.6457,40.7407,1.8519,11.1111,1.1891,7.8966,5.9711,1.3308,0.2867,1.2713,0.3886,1.4877,0.1454,-0.1854,-0.0795,-0.0914,-0.1411,-0.0717,0.9393,0.9978,0.7307,0.8136,1.2939,1.1588,3.6891,3.8066,2.0251,1.6069,138.8856,138.8856,48.6232,94.2894,18.0108,81.8235,0.1676,0.5296,0.1168,3.7877,1.2776,3.3376,-0.2574,11,6.7036,6.0746,3.585,0.208,1.8905,4.1001,0.7877,0,Act-1
