LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
4.3818,0,1.2067,8.5633,0.0,0.6278,2.0214,8.9384,3.8727,59.2313,-0.1208,Act1
2.8949,0,1.1651,7.49,0.0,0.6482,2.1532,5.5347,3.4878,25.5997,-0.0508,Act1
1.7651,0,1.1951,7.6898,50.9079,0.6544,2.1315,6.4474,3.3429,22.0872,-0.3005,Act-1
1.5135,0,1.2653,7.5641,36.0215,0.6281,2.0077,3.7798,3.0232,7.1904,0.0438,Act-1
0.2791,0,1.2291,8.5573,178.7129,0.6133,2.0275,5.0491,3.5602,6.63,0.1107,Act-1
1.6122,1,1.4044,8.0181,34.6738,0.699,2.0249,6.7248,3.8925,29.3247,-0.2065,Act1
3.8867,1,1.4583,7.9949,136.2746,0.6751,2.0914,14.6472,4.0339,57.4086,0.158,Act1
4.3867,0,1.0549,7.325,0.0,0.6274,2.1504,7.8622,3.5011,25.4097,0.0356,Act-1
3.2334,1,1.3426,7.3382,18.0108,0.698,2.0544,0.0,3.6812,15.2768,-0.1718,Act1
3.0393,0,1.1797,8.0139,39.0961,0.6586,2.133,9.6071,3.7614,31.9552,0.0762,Act1
5.4305,0,1.112,7.7523,0.0,0.6352,2.1978,10.1118,3.9475,41.5712,-0.05,Act1
1.6389,0,1.0621,7.9679,128.05,0.6195,2.1447,8.3222,3.8259,33.7288,0.0213,Act1
3.242,0,1.1817,7.4954,75.5805,0.6301,2.1384,6.7432,3.236,21.5783,-0.0463,Act-1
3.014,1,1.3177,8.4962,36.0215,0.6541,2.0291,11.7393,3.8998,52.2903,0.1304,Act1
4.1194,1,1.4376,8.5332,36.0215,0.6507,2.0986,7.5746,4.1185,45.7754,0.1908,Act1
4.339,1,1.4054,7.6543,93.5913,0.6806,2.0049,9.097,3.5474,75.2002,0.0365,Act1
1.8624,1,1.594,7.6282,0.0,0.6911,2.1014,7.7667,4.3661,14.2738,0.0345,Act1
2.6434,1,1.3202,8.3967,42.6833,0.6632,2.0679,6.2702,3.8111,35.4111,-0.0597,Act1
2.3659,1,1.4208,8.0635,34.6738,0.6971,1.9822,13.0373,3.9315,30.0858,-0.1263,Act1
-1.8572,0,1.0647,8.3684,36.0215,0.6117,2.0435,3.7798,3.1274,29.3471,-0.0978,Act-1
1.3023,1,1.3272,7.6875,77.4796,0.6498,2.1227,9.0899,3.5328,23.6187,-0.0248,Act-1
3.72,1,1.2419,7.9655,42.6833,0.7018,1.9772,10.6733,3.472,83.8285,-0.0739,Act1
1.077,0,1.2496,7.8939,75.5805,0.6262,2.0158,3.586,2.5058,3.1856,-0.1261,Act1
-1.8682,0,1.048,9.1667,118.2639,0.5538,1.8957,1.8899,1.9705,0.9099,-0.1354,Act-1
-1.2147,0,1.0861,8.3488,151.0739,0.6404,2.0166,8.7289,4.0368,48.8875,-0.0965,Act-1
-0.3326,0,1.0972,8.325,135.0494,0.6436,2.0103,4.6066,3.2816,47.6815,-0.1512,Act-1
2.2121,0,1.0865,7.9268,42.6833,0.6515,2.0171,11.8857,3.5052,102.394,-0.0507,Act-1
6.1342,0,1.1776,8.6622,0.0,0.6227,2.0856,10.6677,3.5353,35.1024,0.0924,Act-1
