Mp,C_percent,N_percent,O_percent,DECC,Psi_e_A,piPC05,PCR,Vindex,SpMAD_A,WiA_D/Dt,SpMAD_B(p),MATS2m,MATS5m,MATS5p,MATS8p,MATS1i,MATS7i,GATS4m,GATS8m,GATS2p,GATS2i,GATS4i,GATS6i,SpMax2_Bh(p),SpMax2_Bh(i),SpMin1_Bh(p),SpMin3_Bh(i),P_VSA_p_3,P_VSA_i_2,P_VSA_s_3,P_VSA_s_6,P_VSA_ppp_D,P_VSA_ppp_cyc,Eta_D_epsiA,Eta_psi1,SpMaxA_AEA(dm),SM12_AEA(ri),SdssC,SaasC,mindssC,CATS2D_00_LL,SHED_AL,SHED_LL,Uc,TPSA_efficiency,LOGPcons,SAscore,QEDu,MACCSFP125,Actividad
0.708,50.0,5.5556,5.5556,0.7603,7.9091,5.4105,1.4494,0.4311,1.3115,0.3626,1.6215,-0.0937,0.122,0.0184,0.0,0.0392,0.8177,1.1274,0.0,1.0084,1.0221,1.2135,0.5338,3.3308,3.5515,2.1507,1.013,65.9126,65.9126,9.4839,26.6225,16.7855,82.6981,0.1575,0.5902,0.2458,2.9813,0.0,-0.0521,0.0,7,4.7107,3.3889,3.585,0.2563,1.0608,4.5287,0.5396,1,Act-1
0.7219,54.5455,0.0,4.5455,0.8047,7.8077,5.247,1.4262,0.3786,1.3193,0.5172,1.6151,-0.1313,-0.1714,-0.0608,0.4939,0.0362,0.1432,1.0567,0.6097,1.0683,1.0694,1.0594,1.0993,3.6715,3.769,2.0476,0.9349,96.4242,96.4242,11.1379,26.6225,0.0,96.4242,0.1268,0.6419,0.2189,3.1701,0.0,1.824,0.0,11,4.6955,5.9952,3.7004,0.1363,2.6525,3.5045,0.5833,1,Act-1
0.6718,35.0877,3.5088,15.7895,1.7751,8.4943,5.3598,1.1569,0.2631,1.1823,0.8081,1.4232,0.1198,0.083,-0.2045,0.0449,-0.099,-0.121,0.8068,0.8638,1.0378,1.2566,1.1797,0.8931,3.7717,3.8859,1.9778,1.6834,162.6929,84.3956,38.3165,289.3886,121.3882,45.8069,0.2536,0.4905,0.1209,3.7279,-5.3566,0.4886,-1.4531,12,13.4788,10.8047,3.585,0.3255,1.9037,4.2945,0.2624,0,Act-1
0.6951,36.1111,5.5556,2.7778,1.2346,7.6574,4.8908,1.1932,0.2903,1.2504,0.6268,1.4269,0.0209,0.0008,0.0154,-0.1934,0.1578,-0.0449,0.5895,1.8418,0.7781,1.2284,0.9297,0.9407,3.7369,3.8857,2.0468,1.2409,135.157,135.157,24.2964,75.5805,93.5913,41.1432,0.1088,0.7203,0.1745,2.7675,0.0,3.8436,0.0,9,4.5858,7.5836,2.8074,0.1541,2.9268,3.4644,0.6507,0,Act-1
0.7283,40.7407,18.5185,0.0,1.1765,7.6225,5.6599,1.4087,0.2755,1.3423,0.4414,1.575,0.0087,-0.0542,-0.1482,0.1184,-0.2779,-0.1461,1.6272,0.1797,0.7211,1.0609,0.9746,0.9953,3.5409,3.8538,2.0967,1.359,99.2121,99.2121,16.2106,50.3566,36.0215,121.6253,0.1837,0.6325,0.1767,3.3263,0.7999,1.8386,0.7999,3,3.7091,3.0,3.7004,0.2129,1.5714,3.6027,0.9125,1,Act-1
0.7764,50.0,0.0,8.8235,1.0826,7.8864,6.0681,1.458,0.2748,1.2897,0.5075,1.5834,0.0268,-0.036,-0.2081,-0.0032,0.0589,-0.0415,0.7689,1.8526,0.7006,0.9795,0.9488,1.0855,3.8718,3.8972,2.0132,1.6012,190.5982,190.5982,33.0074,77.3356,42.6833,91.7042,0.1885,0.6822,0.1531,4.0894,-0.122,2.7531,-0.122,13,7.4023,8.2715,4.1699,0.1189,5.025,3.6608,0.6127,1,Act-1
0.635,40.8163,0.0,2.0408,1.2608,7.381,4.8442,1.0654,0.2637,1.3329,0.2977,1.454,0.0543,-0.0143,-0.0285,-0.0674,0.1164,0.07,1.2476,0.9954,1.1149,1.1203,1.1751,0.826,3.7898,3.9079,2.137,1.6082,84.6496,84.6496,25.9964,66.0046,42.6833,35.4726,0.0397,0.6681,0.1757,3.394,1.7744,0.0,1.7744,19,7.2618,7.6395,1.585,0.0711,4.8115,4.255,0.512,0,Act-1
0.6491,42.8571,0.0,4.0816,1.3611,7.6377,5.1648,1.1217,0.2534,1.3203,0.32,1.5052,0.0527,-0.0985,-0.0881,-0.0407,0.1108,0.1038,1.1797,1.0358,1.0922,1.0984,1.1753,0.84,3.8,3.9075,2.1327,1.6027,103.6665,103.6665,26.0608,91.1495,42.6833,51.955,0.073,0.6333,0.1667,3.499,1.719,0.0,0.3156,19,9.0153,7.3286,2.3219,0.1201,3.98,4.5684,0.6999,0,Act-1
0.6335,39.6226,1.8868,3.7736,1.5,7.5903,5.0814,1.0861,0.2426,1.3354,0.3359,1.4703,0.0461,-0.0727,-0.0861,-0.0364,0.1769,0.058,1.211,1.0105,1.1287,1.1336,1.1931,0.8084,3.7959,3.915,2.1362,1.6075,87.4064,87.4064,28.7531,122.0577,85.489,35.6948,0.0722,0.6174,0.1567,3.5384,2.3523,0.0,0.8481,19,10.0659,7.3286,2.0,0.1613,4.296,4.5714,0.5926,0,Act1
0.6456,42.3077,0.0,3.8462,1.3542,7.6389,5.1761,1.0829,0.2595,1.307,0.3194,1.4864,0.0785,-0.0825,-0.0964,0.0011,0.1061,0.1403,1.1523,1.04,1.0728,1.0793,1.1343,0.96,3.7947,3.9104,2.1343,1.6088,106.2011,106.2011,31.7809,106.9164,42.6833,38.7226,0.0686,0.6364,0.1571,3.5351,2.938,0.0,0.2978,20,8.9985,7.2236,2.3219,0.1149,4.3047,4.541,0.6892,0,Act1
0.6418,41.6667,0.0,4.1667,1.3388,7.6212,4.9628,1.0789,0.2536,1.3134,0.3111,1.4701,0.0653,0.0026,-0.0233,-0.0691,0.1162,0.0782,1.2059,1.062,1.0999,1.1062,1.1701,0.821,3.7884,3.9048,2.1348,1.6067,87.2486,87.2486,28.5953,91.1495,42.6833,38.0716,0.0686,0.6299,0.1687,3.4982,1.7493,0.0,0.3268,18,8.7841,7.1598,2.0,0.125,3.8315,4.3362,0.7468,0,Act-1
0.6386,41.1765,0.0,3.9216,1.3611,7.5942,5.0173,1.0767,0.2534,1.3203,0.32,1.4762,0.0556,-0.0843,-0.0819,-0.0368,0.1111,0.0815,1.2091,1.0089,1.1186,1.1247,1.2023,0.7987,3.7947,3.9104,2.1365,1.6078,89.7831,89.7831,31.1298,91.1495,42.6833,38.0716,0.0644,0.6333,0.1627,3.4984,1.7571,0.0,0.3296,19,9.0153,7.3286,2.0,0.1194,4.1879,4.3889,0.7856,0,Act1
0.6605,44.6809,0.0,4.2553,1.3611,7.6667,5.4638,1.1869,0.2534,1.3203,0.32,1.5252,0.0865,-0.111,-0.1133,-0.0645,0.1107,0.0436,1.2394,1.0206,1.0244,1.0316,1.2151,0.8354,3.7869,3.8945,2.1183,1.5986,110.0377,110.0377,32.4319,91.1495,42.6833,58.3261,0.0823,0.6333,0.165,3.847,4.3497,0.0,0.2714,19,9.0153,7.3286,2.585,0.1209,3.9093,4.4295,0.7894,0,Act1
0.6392,41.5094,0.0,1.8868,1.2817,7.4203,5.0814,1.0708,0.2689,1.3245,0.3071,1.472,0.0671,-0.0854,-0.0951,0.0164,0.1063,0.1142,1.1876,0.8971,1.0871,1.0925,1.1387,0.962,3.7961,3.9134,2.1364,1.6104,103.6021,103.6021,29.1819,81.7715,42.6833,36.1237,0.042,0.6719,0.1632,3.4623,3.1056,0.0,1.39,21,7.3335,7.7091,2.0,0.0651,5.2825,4.4686,0.5212,0,Act-1
0.6532,43.4783,0.0,4.3478,1.3388,7.6364,5.3899,1.1804,0.2536,1.3134,0.3111,1.4899,0.0825,0.0063,-0.0281,-0.0926,0.1523,0.0651,1.2119,1.0675,1.0517,1.0591,1.1763,0.8186,3.82,3.9136,2.1335,1.609,99.1841,99.1841,21.5783,108.6879,85.3667,50.0071,0.078,0.6299,0.1687,3.9112,0.0,3.1136,0.0,18,8.7841,7.1598,3.0,0.1365,4.1593,4.4349,0.7805,0,Act1
0.6491,42.8571,0.0,4.0816,1.4896,7.5217,5.4302,1.1783,0.2424,1.3227,0.3278,1.4916,0.0886,0.0075,-0.0231,-0.0732,0.0656,0.0336,1.239,1.0288,0.9728,0.9805,1.2076,0.8532,3.8217,3.9164,2.1343,1.6108,115.3106,115.3106,26.8218,77.0045,42.6833,55.2505,0.073,0.6333,0.1622,3.9147,0.0,3.9353,0.0,18,8.7841,7.1598,3.0,0.0949,4.4183,4.5078,0.8282,0,Act1
0.6456,42.3729,0.0,3.3898,1.9396,7.4198,5.5101,1.1666,0.1823,1.3343,0.3657,1.4754,0.0558,-0.0295,-0.0443,-0.1135,0.0763,0.0143,1.1748,1.0749,1.1083,1.1209,1.0707,0.9068,3.8281,3.9422,2.1347,1.616,114.5657,114.5657,36.9599,77.0045,42.6833,65.3886,0.0611,0.6444,0.136,3.9156,0.0,4.1168,0.0,22,9.9794,11.2296,3.0,0.0808,5.6074,4.5563,0.7502,0,Act1
0.6418,41.6667,0.0,4.1667,1.3388,7.6136,5.0304,1.077,0.2536,1.3134,0.3111,1.4637,0.0825,0.0101,-0.0259,-0.0844,0.1162,0.0486,1.2272,1.0683,1.0799,1.0865,1.1895,0.8082,3.789,3.9048,2.1332,1.6085,83.4924,83.4924,34.3154,91.1495,42.6833,34.3154,0.0686,0.6299,0.1687,3.7055,3.5146,0.0,0.4309,18,8.7841,7.1598,2.0,0.125,3.8039,4.3487,0.6594,0,Act1
0.6333,40.0,0.0,6.6667,1.8929,7.7024,5.1591,1.0753,0.2151,1.2686,0.4009,1.4321,0.122,-0.0507,-0.1034,-0.04,-0.0085,0.0949,1.1069,1.025,1.0989,1.1073,1.1748,0.9314,3.7939,3.9152,2.1379,1.6253,114.1482,114.1482,37.8445,95.6109,0.0,32.9381,0.0942,0.5882,0.1386,3.4419,1.0487,0.0,-0.2643,20,11.3492,9.2566,2.3219,0.1368,4.6611,4.5002,0.5579,0,Act-1
0.6419,41.5094,0.0,5.6604,1.488,7.6933,5.124,1.079,0.2399,1.2878,0.3607,1.4603,0.1063,-0.0392,-0.0983,-0.0508,0.0321,0.1416,1.1269,1.0562,1.0853,1.0925,1.1524,0.9189,3.7913,3.9086,2.135,1.6201,103.2651,103.2651,35.7866,84.611,0.0,38.0716,0.0871,0.6061,0.1534,3.5002,1.4549,0.0,-0.2624,19,9.5666,7.8908,2.3219,0.1274,4.2574,4.4008,0.676,0,Act1
0.6609,43.75,0.0,12.5,1.0309,8.3565,4.9959,1.276,0.4546,1.2129,0.7479,1.5517,0.2237,0.0562,0.1961,-0.1829,-0.0162,-0.4213,1.072,1.305,1.0097,1.0226,1.2598,0.8471,3.6305,3.7803,2.0121,1.1802,112.9141,112.9141,17.0069,127.2943,42.6833,44.2761,0.1875,0.5319,0.2231,3.4235,-1.9058,-0.0992,-1.1792,11,5.681,7.4102,3.3219,0.2582,2.9872,3.9656,0.7573,0,Act-1
0.6733,38.8889,0.0,5.5556,0.5926,8.3179,2.1972,1.1445,0.9213,1.1401,1.0,1.4456,-0.0153,0.0011,0.0103,0.0,0.013,0.0,0.8687,0.0,1.0501,1.1896,1.1806,0.0543,3.156,3.3613,1.8844,1.0952,110.1277,70.9791,2.5345,105.1532,42.6833,0.0,0.1565,0.5866,0.5025,1.7015,0.0,0.0,0.0,6,2.7495,4.7785,1.585,0.1399,1.9326,4.2759,0.533,0,Act-1
0.6621,39.6552,12.069,8.6207,2.3249,8.281,6.1391,1.4442,0.1895,1.2489,0.7271,1.5395,0.0795,-0.0452,0.014,0.0393,-0.0329,-0.0932,1.0595,1.04,1.1379,1.1568,0.9684,0.9495,3.8217,3.9796,2.1193,1.6718,121.1811,121.1811,33.8769,317.0592,169.1718,131.3089,0.2171,0.5128,0.1021,3.8017,-3.0849,1.7967,-1.3097,13,12.1761,9.4889,4.4594,0.4341,1.7726,4.6666,0.1926,1,Act1
0.663,44.0,4.0,0.0,0.9583,7.5972,4.3623,1.2813,0.4246,1.2286,0.7346,1.5067,-0.1003,-0.2952,-0.2737,0.1645,-0.242,-0.0551,0.7818,0.7144,0.8258,0.88,0.7621,0.7534,3.4665,3.6848,2.0121,1.1717,103.5264,103.5264,7.397,23.3212,0.0,50.5668,0.0747,0.6705,0.252,2.4437,0.0,1.3012,0.0,8,3.7467,6.7572,3.0,0.0203,2.5313,3.1067,0.5072,0,Act-1
0.6759,46.1538,3.8462,0.0,0.9586,7.5128,4.7922,1.2599,0.3662,1.3216,0.4836,1.57,-0.1121,-0.0187,-0.0163,0.0616,0.0215,-0.0717,1.1374,0.8463,1.0459,1.118,1.0607,0.6849,3.4408,3.6301,1.9742,1.3797,91.8027,91.8027,13.5459,23.3212,18.0108,49.3452,0.0748,0.6737,0.2386,2.421,0.0,2.8979,0.0,10,0.0,6.9805,3.0,0.0702,2.6812,3.8122,0.4456,0,Act1
0.8001,47.619,9.5238,0.0,0.8571,7.8532,5.1587,1.2748,0.3973,1.2766,0.4649,1.5749,0.0515,0.1121,0.1083,-0.3545,-0.1527,0.0576,1.0696,2.0224,0.7955,1.2179,0.8947,0.9944,3.4489,3.5668,1.9461,1.1679,164.5256,80.1849,11.4043,107.6619,18.0108,58.8624,0.2101,0.636,0.2639,3.0587,0.6252,2.5763,0.6252,6,3.0,6.6787,3.1699,0.2371,2.9554,3.6828,0.6022,0,Act-1
0.7388,48.4848,12.1212,3.0303,1.2893,7.9369,6.0943,1.4706,0.2614,1.3137,0.5215,1.6296,0.0165,-0.0752,-0.0176,0.0889,-0.2451,0.1799,0.9969,1.1377,0.9143,1.1795,1.0478,1.203,3.7064,3.8453,2.0755,1.5243,165.2731,126.1244,20.2965,121.1859,18.0108,113.8198,0.2172,0.577,0.1507,3.6704,-0.3266,2.1202,-0.3266,9,7.0079,10.2998,4.2479,0.1908,2.7116,4.1605,0.6921,1,Act1
