LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
4.7604,1,1.4476,7.5517,18.0108,0.6818,2.1168,9.2612,3.6819,65.8538,-0.0646,Act1
5.0279,1,1.426,7.7832,0.0,0.7127,2.1025,10.0751,3.995,78.9289,-0.0162,Act1
3.4866,1,1.3044,8.0588,34.4157,0.7526,2.0392,6.4783,3.6633,45.4253,-0.0265,Act1
3.929,1,1.3055,7.9753,34.4157,0.7526,2.0431,6.5315,3.892,48.1653,-0.088,Act1
4.8287,1,1.2689,7.6687,36.0215,0.6793,2.065,9.4191,3.6529,33.8968,0.0236,Act1
4.7324,1,1.2689,7.8909,36.0215,0.6837,2.0647,8.3447,3.6529,39.8323,0.0194,Act1
3.8873,1,1.2974,7.9531,34.4157,0.7147,2.046,10.0446,3.9248,62.8242,0.0464,Act1
3.0612,1,1.3029,8.1,52.4265,0.7411,2.0474,10.1844,3.6828,50.614,0.0498,Act1
4.6737,1,1.2865,7.8833,16.405,0.7245,2.0648,7.7487,3.9193,51.6294,0.0914,Act1
4.9039,1,1.2761,7.7411,36.0215,0.6665,2.078,8.1998,3.8845,42.2573,0.0971,Act1
2.8825,1,1.307,7.7724,18.0108,0.6928,2.1074,6.8383,4.0502,49.5807,-0.1371,Act1
3.1425,1,1.3166,7.7222,18.0108,0.6669,2.0933,8.9011,3.7172,38.7476,0.005,Act1
6.0439,1,1.4278,8.3764,18.0108,0.706,2.0356,7.0709,3.8674,38.8814,-0.1215,Act1
2.3937,0,1.3064,8.0104,0.0,0.7075,2.0515,5.4963,3.7921,49.544,-0.2548,Act1
4.1996,1,1.5119,7.4405,0.0,0.6709,2.1814,9.6015,4.0186,28.2101,-0.0845,Act1
6.0067,1,1.4453,7.6465,54.0323,0.681,2.074,8.5265,3.7485,32.701,0.2041,Act-1
5.5931,1,1.4338,7.6847,54.0323,0.666,2.071,13.3935,3.7488,46.0014,0.0502,Act1
4.2983,1,1.3983,7.6506,18.0108,0.7135,2.003,10.9196,3.8731,66.7326,0.1023,Act1
1.6179,1,1.3778,7.9815,18.0108,0.6605,2.0701,8.609,4.0599,36.1666,-0.2752,Act1
4.7018,1,1.4088,7.9902,34.7963,0.7124,2.0318,11.1708,3.9201,91.072,-0.0028,Act1
5.201,1,1.3841,7.6004,18.0108,0.7146,2.0019,7.5177,3.874,68.0836,0.0349,Act1
5.5134,1,1.3851,7.8704,16.663,0.7567,2.0278,9.481,3.8963,73.9526,-0.0402,Act1
4.6256,1,1.3796,7.7745,16.663,0.7035,2.0386,10.408,3.814,76.7872,-0.058,Act1
3.519,1,1.2856,7.7525,36.0215,0.6402,2.0747,11.331,3.5931,39.9336,-0.05,Act1
4.2364,1,1.3845,7.8125,16.663,0.6922,2.0436,10.6498,3.8136,42.9497,-0.0179,Act1
3.9736,1,1.47,7.5139,18.0108,0.6767,2.1278,6.6044,3.9088,34.2634,-0.1132,Act1
4.421,1,1.4738,7.4493,18.0108,0.6818,2.1287,6.5161,3.8989,32.2055,-0.1775,Act1
5.2826,1,1.4581,7.8347,0.0,0.6989,2.078,11.8169,3.8836,53.6017,-0.0734,Act1
4.2855,1,1.2577,7.9905,18.0108,0.6813,2.0109,10.244,3.8112,81.1519,0.0642,Act1
4.7914,1,1.4771,7.8981,60.6941,0.7156,2.0869,13.2102,3.8127,75.5186,0.1192,Act1
4.4792,1,1.4122,7.5972,18.0108,0.6897,2.0157,7.2807,3.9432,62.9217,-0.3076,Act1
5.3853,1,1.475,7.569,18.0108,0.7073,2.0249,9.0675,3.9433,66.1073,-0.2649,Act1
