--- REPORTE GENERAL DE FRECUENCIA DE ATRIBUTOS ---
Fuentes: 4 archivos raw
------------------------------------------------------------
Atributo                                 | Frecuencia Total    
B07[O-S]                                 | 2                   
B08[C-C]                                 | 2                   
B08[C-S]                                 | 2                   
B08[O-S]                                 | 2                   
B09[C-O]                                 | 2                   
B09[N-N]                                 | 2                   
B10[C-C]                                 | 2                   
F02[C-O]                                 | 2                   
F02[C-F]                                 | 2                   
F09[N-N]                                 | 2                   
nRCOOH                                   | 2                   
SaaCH                                    | 2                   
CATS2D_07_AP                             | 2                   
B06[C-C]                                 | 2                   
RBF                                      | 2                   
nHM                                      | 2                   
C_percent                                | 2                   
nFR                                      | 2                   
TIE                                      | 2                   
C4SP3                                    | 2                   
J_Dz(m)                                  | 2                   
Chi_Dz(i)                                | 2                   
SpPosA_B(p)                              | 2                   
MATS1p                                   | 2                   
MATS1i                                   | 2                   
GATS7m                                   | 2                   
GATS1p                                   | 2                   
GATS4p                                   | 2                   
GATS5p                                   | 2                   
GATS6p                                   | 2                   
GATS4i                                   | 2                   
GATS8i                                   | 2                   
SpMax2_Bh(p)                             | 2                   
SpMin1_Bh(i)                             | 2                   
P_VSA_LogP_7                             | 2                   
IVDE                                     | 2                   
Wi_D/Dt                                  | 2                   
SM1_Dz(m)                                | 2                   
MATS5m                                   | 2                   
P_VSA_m_4                                | 2                   
nS                                       | 2                   
SpMAD_A                                  | 2                   
AVS_B(m)                                 | 2                   
SpDiam_B(p)                              | 2                   
SIC2                                     | 2                   
CIC1                                     | 2                   
SM4_B(p)                                 | 2                   
MATS2p                                   | 2                   
MATS4i                                   | 2                   
GATS4m                                   | 2                   
SpMin3_Bh(i)                             | 2                   
phLevel2                                 | 2                   
B09[C-C]                                 | 2                   
F02[N-O]                                 | 1                   
F04[C-N]                                 | 1                   
F04[C-F]                                 | 1                   
F04[N-O]                                 | 1                   
max_conj_path                            | 1                   
F04[N-S]                                 | 1                   
F06[C-F]                                 | 1                   
F06[N-F]                                 | 1                   
F08[C-S]                                 | 1                   
F08[N-N]                                 | 1                   
F08[N-O]                                 | 1                   
F09[C-S]                                 | 1                   
F09[C-Cl]                                | 1                   
F09[N-O]                                 | 1                   
F10[C-Cl]                                | 1                   
SAscore                                  | 1                   
MDEN-12                                  | 1                   
nLevel8                                  | 1                   
s2_relSize                               | 1                   
s2_numRotBonds                           | 1                   
s2_numAroBonds                           | 1                   
MATS6p                                   | 1                   
F05[N-N]                                 | 1                   
GATS3i                                   | 1                   
P_VSA_MR_2                               | 1                   
P_VSA_s_6                                | 1                   
P_VSA_ppp_cyc                            | 1                   
P_VSA_charge_4                           | 1                   
P_VSA_charge_9                           | 1                   
P_VSA_charge_12                          | 1                   
Eta_beta                                 | 1                   
Eta_sh_p                                 | 1                   
Eta_epsi_5                               | 1                   
Eta_psi1                                 | 1                   
Eta_D_beta                               | 1                   
