--- REPORTE DE CONSENSO FINAL (J48 + IBk) ---
------------------------------------------------------------
Atributo                                 | Frecuencia     
P_VSA_charge_14                          | 1              
Eta_beta                                 | 1              
Eta_sh_p                                 | 1              
Eta_D_epsiA                              | 1              
Eta_D_beta                               | 1              
SpMAD_EA                                 | 1              
SpMAD_EA(dm)                             | 1              
SpMaxA_AEA(dm)                           | 1              
SM02_EA(dm)                              | 1              
SM03_EA(dm)                              | 1              
Eig08_EA(bo)                             | 1              
Eig09_EA(dm)                             | 1              
Eig14_EA(dm)                             | 1              
Eig02_AEA(dm)                            | 1              
nCp                                      | 1              
nR=Ct                                    | 1              
nRCOOH                                   | 1              
nRCOOR                                   | 1              
nArCONHR                                 | 1              
nRNH2                                    | 1              
nArNR2                                   | 1              
nOHp                                     | 1              
nArOR                                    | 1              
nSO2N                                    | 1              
nArX                                     | 1              
nPyrroles                                | 1              
C-003                                    | 1              
C-009                                    | 1              
C-027                                    | 1              
C-031                                    | 1              
C-033                                    | 1              
C-040                                    | 1              
C-043                                    | 1              
C-044                                    | 1              
H-051                                    | 1              
H-052                                    | 1              
O-057                                    | 1              
N-068                                    | 1              
N-070                                    | 1              
F-084                                    | 1              
Cl-089                                   | 1              
SaasC                                    | 1              
SssssC                                   | 1              
NsCH3                                    | 1              
NssCH2                                   | 1              
NssssC                                   | 1              
NsssN                                    | 1              
NssO                                     | 1              
NaaO                                     | 1              
NssS                                     | 1              
NaaS                                     | 1              
NddssS                                   | 1              
minsssCH                                 | 1              
mindssC                                  | 1              
minaasC                                  | 1              
MaxssCH2                                 | 1              
MaxaaCH                                  | 1              
MaxsssCH                                 | 1              
MaxaasC                                  | 1              
MaxaaN                                   | 1              
MaxsOH                                   | 1              
gmax                                     | 1              
CATS2D_04_DD                             | 1              
CATS2D_06_DD                             | 1              
CATS2D_02_DA                             | 1              
CATS2D_04_DA                             | 1              
CATS2D_07_DA                             | 1              
CATS2D_02_DL                             | 1              
CATS2D_09_AA                             | 1              
CATS2D_04_AP                             | 1              
CATS2D_08_AP                             | 1              
CATS2D_09_AP                             | 1              
CATS2D_00_AN                             | 1              
CATS2D_07_AN                             | 1              
CATS2D_08_AN                             | 1              
CATS2D_04_AL                             | 1              
CATS2D_05_AL                             | 1              
CATS2D_06_AL                             | 1              
CATS2D_07_AL                             | 1              
CATS2D_03_PL                             | 1              
CATS2D_04_PL                             | 1              
CATS2D_07_PL                             | 1              
CATS2D_09_PL                             | 1              
CATS2D_01_NL                             | 1              
CATS2D_03_NL                             | 1              
CATS2D_05_NL                             | 1              
CATS2D_06_NL                             | 1              
CATS2D_08_NL                             | 1              
CATS2D_09_NL                             | 1              
