example_id,probability_permeable,predicted_label,predicted_class,model_id,descriptor_contract,approved_for_decision,leverage,h_star,in_domain,physics_interpretation,physics_comments,local_agent_decision,experimental_label
positive_external_example,0.7750210290884061,1,PERMEABLE,thesis_rf_11_alvadesc_weka,thesis_11_descriptors_v1,True,0.0016251181126484089,0.008262565985770026,True,strong_permeability_signal,"High LOGPcons supports passive membrane partitioning.; MACCSFP125 is present, matching a structural signal retained by the thesis model.; High P_VSA_s_3 suggests relevant polar surface contribution.",CANDIDATE_PERMEABLE,Act1
negative_external_example,0.5463936469456276,1,PERMEABLE,thesis_rf_11_alvadesc_weka,thesis_11_descriptors_v1,True,0.002617790056383562,0.008262565985770026,True,borderline_permeability_signal,Low LOGPcons may limit passive membrane partitioning.; High P_VSA_s_3 suggests relevant polar surface contribution.,CANDIDATE_PERMEABLE,Act-1
