--- REPORTE DE DIAGNÓSTICO DE CONSENSO (J48 + IBk) ---
------------------------------------------------------------
Atributo (o Índice)                      | Frecuencia     
Índice Fuera de Rango: 23                | 1              
Índice Fuera de Rango: 24                | 1              
Índice Fuera de Rango: 31                | 1              
Índice Fuera de Rango: 32                | 1              
Índice Fuera de Rango: 34                | 1              
Índice Fuera de Rango: 36                | 1              
Índice Fuera de Rango: 41                | 1              
Índice Fuera de Rango: 42                | 1              
Índice Fuera de Rango: 44                | 1              
Índice Fuera de Rango: 51                | 1              
Índice Fuera de Rango: 54                | 1              
Índice Fuera de Rango: 56                | 1              
Índice Fuera de Rango: 60                | 1              
Índice Fuera de Rango: 63                | 1              
Índice Fuera de Rango: 69                | 1              
Índice Fuera de Rango: 71                | 1              
Índice Fuera de Rango: 74                | 1              
Índice Fuera de Rango: 75                | 1              
Índice Fuera de Rango: 79                | 1              
Índice Fuera de Rango: 80                | 1              
Índice Fuera de Rango: 81                | 1              
Índice Fuera de Rango: 83                | 1              
Índice Fuera de Rango: 85                | 1              
Índice Fuera de Rango: 86                | 1              
Índice Fuera de Rango: 89                | 1              
Índice Fuera de Rango: 90                | 1              
Índice Fuera de Rango: 91                | 1              
Índice Fuera de Rango: 92                | 1              
Índice Fuera de Rango: 93                | 1              
Índice Fuera de Rango: 94                | 1              
Índice Fuera de Rango: 95                | 1              
Índice Fuera de Rango: 96                | 1              
Índice Fuera de Rango: 97                | 1              
Índice Fuera de Rango: 99                | 1              
Índice Fuera de Rango: 104               | 1              
Índice Fuera de Rango: 105               | 1              
Índice Fuera de Rango: 108               | 1              
Índice Fuera de Rango: 109               | 1              
Índice Fuera de Rango: 111               | 1              
Índice Fuera de Rango: 115               | 1              
Índice Fuera de Rango: 116               | 1              
Índice Fuera de Rango: 117               | 1              
Índice Fuera de Rango: 122               | 1              
Índice Fuera de Rango: 124               | 1              
Índice Fuera de Rango: 126               | 1              
Índice Fuera de Rango: 132               | 1              
Índice Fuera de Rango: 135               | 1              
Índice Fuera de Rango: 136               | 1              
Índice Fuera de Rango: 140               | 1              
Índice Fuera de Rango: 143               | 1              
Índice Fuera de Rango: 145               | 1              
Índice Fuera de Rango: 146               | 1              
Índice Fuera de Rango: 148               | 1              
Índice Fuera de Rango: 149               | 1              
Índice Fuera de Rango: 151               | 1              
Índice Fuera de Rango: 154               | 1              
Índice Fuera de Rango: 162               | 1              
Índice Fuera de Rango: 164               | 1              
Índice Fuera de Rango: 165               | 1              
Índice Fuera de Rango: 166               | 1              
Índice Fuera de Rango: 169               | 1              
Índice Fuera de Rango: 171               | 1              
Índice Fuera de Rango: 173               | 1              
Índice Fuera de Rango: 174               | 1              
Índice Fuera de Rango: 177               | 1              
Índice Fuera de Rango: 182               | 1              
Índice Fuera de Rango: 183               | 1              
Índice Fuera de Rango: 187               | 1              
Índice Fuera de Rango: 190               | 1              
Índice Fuera de Rango: 192               | 1              
Índice Fuera de Rango: 193               | 1              
Índice Fuera de Rango: 196               | 1              
Índice Fuera de Rango: 199               | 1              
Índice Fuera de Rango: 204               | 1              
Índice Fuera de Rango: 205               | 1              
Índice Fuera de Rango: 210               | 1              
Índice Fuera de Rango: 215               | 1              
Índice Fuera de Rango: 220               | 1              
Índice Fuera de Rango: 222               | 1              
Índice Fuera de Rango: 226               | 1              
Índice Fuera de Rango: 231               | 1              
Índice Fuera de Rango: 232               | 1              
Índice Fuera de Rango: 233               | 1              
Índice Fuera de Rango: 235               | 1              
Índice Fuera de Rango: 239               | 1              
Índice Fuera de Rango: 243               | 1              
Índice Fuera de Rango: 246               | 1              
Índice Fuera de Rango: 248               | 1              
Índice Fuera de Rango: 249               | 1              
Índice Fuera de Rango: 250               | 1              
Índice Fuera de Rango: 251               | 1              
Índice Fuera de Rango: 258               | 1              
Índice Fuera de Rango: 261               | 1              
Índice Fuera de Rango: 265               | 1              
Índice Fuera de Rango: 268               | 1              
Índice Fuera de Rango: 269               | 1              
Índice Fuera de Rango: 272               | 1              
Índice Fuera de Rango: 274               | 1              
Índice Fuera de Rango: 275               | 1              
Índice Fuera de Rango: 279               | 1              
Índice Fuera de Rango: 280               | 1              
Índice Fuera de Rango: 282               | 1              
Índice Fuera de Rango: 285               | 1              
Índice Fuera de Rango: 286               | 1              
Índice Fuera de Rango: 290               | 1              
Índice Fuera de Rango: 291               | 1              
Índice Fuera de Rango: 297               | 1              
Índice Fuera de Rango: 298               | 1              
Índice Fuera de Rango: 303               | 1              
Índice Fuera de Rango: 304               | 1              
Índice Fuera de Rango: 308               | 1              
Índice Fuera de Rango: 310               | 1              
Índice Fuera de Rango: 313               | 1              
Índice Fuera de Rango: 314               | 1              
Índice Fuera de Rango: 315               | 1              
Índice Fuera de Rango: 316               | 1              
Índice Fuera de Rango: 317               | 1              
Índice Fuera de Rango: 319               | 1              
Índice Fuera de Rango: 320               | 1              
Índice Fuera de Rango: 321               | 1              
Índice Fuera de Rango: 325               | 1              
Índice Fuera de Rango: 327               | 1              
Índice Fuera de Rango: 328               | 1              
Índice Fuera de Rango: 330               | 1              
Índice Fuera de Rango: 334               | 1              
Índice Fuera de Rango: 335               | 1              
Índice Fuera de Rango: 338               | 1              
Índice Fuera de Rango: 341               | 1              
Índice Fuera de Rango: 343               | 1              
Índice Fuera de Rango: 347               | 1              
Índice Fuera de Rango: 349               | 1              
Índice Fuera de Rango: 352               | 1              
Índice Fuera de Rango: 356               | 1              
Índice Fuera de Rango: 368               | 1              
Índice Fuera de Rango: 371               | 1              
Índice Fuera de Rango: 375               | 1              
Índice Fuera de Rango: 376               | 1              
Índice Fuera de Rango: 377               | 1              
Índice Fuera de Rango: 381               | 1              
Índice Fuera de Rango: 382               | 1              
Índice Fuera de Rango: 385               | 1              
Índice Fuera de Rango: 386               | 1              
Índice Fuera de Rango: 387               | 1              
Índice Fuera de Rango: 388               | 1              
Índice Fuera de Rango: 392               | 1              
Índice Fuera de Rango: 393               | 1              
Índice Fuera de Rango: 396               | 1              
Índice Fuera de Rango: 398               | 1              
Índice Fuera de Rango: 400               | 1              
Índice Fuera de Rango: 402               | 1              
Índice Fuera de Rango: 404               | 1              
Índice Fuera de Rango: 405               | 1              
