compound_id,alvadesc_name,LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m
A1,Molecule1,1.11155548488362,0,1.3076635760587,8.32142857142857,0.0,0.617048,1.98584142740866,3.61849190017895,3.04835196463443,10.9623160413365,-0.19139608870015
A2,Molecule2,1.65015335038586,0,1.29397581404708,8.09375,0.0,0.627158620689655,1.98326142860379,5.93716346649579,3.0531426559605,20.2427882037065,-0.153379875012209
A3,Molecule3,2.0294086844424,0,1.28731079995635,8.02941176470588,0.0,0.62340625,2.02709072036851,6.66730841528714,3.05267987118179,22.7773199429065,0.0018912756111214
A4,Molecule4,0.884808168337226,0,1.28731079995635,8.14705882352941,0.0,0.621403333333333,2.00476233617217,5.01018181201029,3.05267987118179,24.3584944913949,0.0507952060724842
A5,Molecule5,0.653708180397233,0,1.28731079995635,8.08823529411765,18.0107506830303,0.619138709677419,2.01844265228624,3.61849190017895,3.05267987118179,19.3851334092765,0.0246859618675457
A6,Molecule6,1.62495334347172,0,1.28731079995635,8.04901960784314,0.0,0.661176666666667,1.99224433078271,6.03819727277118,3.05267987118179,49.1926473855692,0.0412462699544004
B1,Molecule7,3.13534385573025,1,1.46876635439936,8.43518518518519,0.0,0.679925925925926,2.01454305854856,6.50999121514103,3.64954369340575,23.268909057302,-0.13928788625213
B2,Molecule8,3.50468373035038,1,1.46876635439936,8.21913580246914,0.0,0.714014814814815,2.00685364506108,7.96960241853862,3.64954369340575,17.6484975237357,-0.0472651591273805
B3,Molecule9,3.61330399186334,1,1.46876635439936,8.14351851851852,0.0,0.732325925925926,2.00487804836473,7.96960241853862,3.64954369340575,17.2029954404413,0.0228025798472521
B4,Molecule10,3.54753995005755,1,1.46876635439936,8.10851851851852,0.0,0.780725925925926,2.00205644638549,7.96960241853862,3.64954369340575,15.8075339301283,0.0282717531886387
B5,Molecule11,2.88547892461873,1,1.47671734625299,8.15686274509804,0.0,0.682240740740741,2.01370663225764,7.21815876113286,3.50891084332626,14.1478909920765,-0.209589267964968
B6,Molecule12,2.80549803393274,1,1.46124963606146,8.14912280701754,0.0,0.665690322580645,2.01681852489354,7.15254355285542,3.66686786285771,19.3913190866608,-0.0627154813595578
B7,Molecule13,2.97202092101786,1,1.45417815999205,8.04166666666667,0.0,0.655685714285715,2.03313614755914,7.15254355285542,3.70665169762309,16.9046385456016,-0.0475139617811895
B8,Molecule14,7.35595150760654,1,1.61334802211292,7.76388888888889,0.0,0.711772881355931,2.09377709654141,14.9129755420577,3.9775765140301,28.7892835541317,-0.146860160579834
C1,Molecule15,2.4711086254803,1,1.44237415261637,8.05208333333333,32.8971874720655,0.674459259259259,1.99677618058228,5.7782757844848,3.6432063590789,23.268909057302,0.317222363092206
C2,Molecule16,2.84044850010043,1,1.44237415261637,7.80902777777778,32.8971874720655,0.708548148148148,1.98197174102882,7.27943455302766,3.6432063590789,17.6484975237357,0.254934704248634
C3,Molecule17,2.94906876161339,1,1.44237415261637,7.72395833333333,32.8971874720655,0.72685925925926,1.97750088074022,7.27943455302766,3.6432063590789,17.2029954404413,0.119936588852821
C4,Molecule18,2.8833047198076,1,1.44237415261637,7.68458333333333,32.8971874720655,0.77525925925926,1.97042123650165,7.27943455302766,3.6432063590789,15.8075339301283,0.0739733355013447
