DrugBank_ID,Probabilidad,Leverage,Dominio_AD,SMILES,Lipinski_Viable,MW,LogP
DB04842,0.9322447622214832,0.0015930779777843973,DENTRO,FC1=CC=C(C=C1)C(CCCN1CCC2(CC1)N(CNC2=O)C1=CC=CC=C1)C1=CC=C(F)C=C1,SÍ,475.58,5.31
DB00913,0.93,0.0010044659206995786,DENTRO,CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1,SÍ,352.48,3.41
DB00269,0.93,0.0009768239284686127,DENTRO,COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,SÍ,380.87,5.87
DB00559,0.93,0.0009762401290405224,DENTRO,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,SÍ,551.63,4.2
DB00619,0.93,0.0024290620493055927,DENTRO,CN1CCN(CC1)CC1=CC=C(C=C1)C(=O)NC1=CC(NC2=NC=CC(=N2)C2=CN=CC=C2)=C(C)C=C1,SÍ,493.62,4.59
DB00663,0.93,0.00241373738873126,DENTRO,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C,SÍ,494.58,3.44
DB00700,0.93,0.0025984018709415396,DENTRO,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC22CCC(=O)O2)C13,SÍ,414.5,3.12
DB01074,0.93,0.007331919773473335,DENTRO,C1CCC(CC1)C(CC1CCCCN1)C1CCCCC1,SÍ,277.5,5.3
DB01196,0.93,0.002065994598115053,DENTRO,CC12CCC3C(CCC4=C3C=CC(OC(=O)N(CCCl)CCCl)=C4)C1CCC2O,SÍ,440.41,5.18
DB04844,0.93,0.0014465309248251528,DENTRO,COC1=C(OC)C=C2C3CC(=O)C(CC(C)C)CN3CCC2=C1,SÍ,317.43,3.24
DB04967,0.93,0.0010913925492396608,DENTRO,CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1,SÍ,340.49,4.48
DB02359,0.93,0.0007873880985534758,DENTRO,CCCCN1C(CC2=CC(OC)=CC=C2OC)=NC2=C1N=CN=C2N,SÍ,341.42,2.82
DB03261,0.93,0.0024290620493055927,DENTRO,CN1CCN(CC1)CC1=CC=C(C=C1)C(=O)NC1=CC=C(C)C(NC2=NC=CC(=N2)C2=CC=CN=C2)=C1,SÍ,493.62,4.59
DB04867,0.93,0.001415320419239332,DENTRO,OC(=O)CN1C(=CC2=CC=CC=C12)C(=O)NC1=NC(=CS1)C1=CC=CC=C1Cl,SÍ,411.87,4.76
DB05298,0.9268924555884789,0.0010337499191569203,DENTRO,CCOC1=C(OCC)C=C(C=C1)C1=NC(=CS1)C1=NC(=CC=C1)C(O)=O,SÍ,370.43,4.37
DB05197,0.926345973049201,0.0017915702427546793,DENTRO,CC(C)=CCOC1=CC=C(C=C1)C=CC(=O)C1=C(OCC(O)=O)C=C(OCC=C(C)C)C=C1,SÍ,450.53,5.74
DB02915,0.9246476933669956,0.0013507025711496853,DENTRO,CC1=NC(C)=C(S1)C1=CC=NC(NC2=CC=C(C=C2)C(F)(F)F)=N1,SÍ,350.37,4.98
DB04886,0.9246476933669956,0.0015974592455333977,DENTRO,CCCC1=CC(=O)OC2=C1C1=C(C=CC(C)(C)O1)C1=C2C(O)C(C)C(C)O1,SÍ,370.45,4.38
DB04724,0.9216180936202133,0.0005756592877449694,DENTRO,CNC(=O)C(CC1=CC2=CC=CC=C2C=C1)N1CCC(=O)N(CC2=CNC3=CC=CC=C3C2)C(CC(C)C)C1=O,SÍ,538.69,4.52
DB02300,0.92,0.0024039175027419264,DENTRO,CC(C=CC(O)C1CC1)C1CCC2C1(C)CCCC2=CC=C1CC(O)CC(O)C1=C,SÍ,412.61,5.09
DB00683,0.92,0.0008632204603101134,DENTRO,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,SÍ,325.77,4.32
DB00240,0.92,0.0020142740052549405,DENTRO,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC12C,SÍ,521.05,3.94
DB00283,0.92,0.0016009231798788416,DENTRO,CN1CCCC1CCOC(C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,SÍ,343.9,5.1
DB00370,0.92,0.0011779257644810035,DENTRO,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,SÍ,265.36,2.48
DB00799,0.92,0.0010636835521002808,DENTRO,CCOC(=O)C1=CN=C(C=C1)C#CC1=CC2=C(SCCC2(C)C)C=C1,SÍ,351.47,4.43
DB00838,0.92,0.002114535152629319,DENTRO,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1C(=O)COC(=O)C(C)(C)C,SÍ,495.03,4.6
DB00845,0.92,0.0017188559224813559,DENTRO,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=CC=CC=C3N=C2C=C1NC1=CC=C(Cl)C=C1,SÍ,473.41,7.49
DB01130,0.92,0.0019465027855838574,DENTRO,CCOC(=O)OC1(CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C)C(=O)COC(=O)CC,SÍ,488.58,3.7
DB01138,0.92,0.0011823531932532135,DENTRO,O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1,SÍ,404.49,3.8
DB01268,0.92,0.001104016271495238,DENTRO,CCN(CC)CCNC(=O)C1=C(C)NC(C=C2C(=O)NC3=C2C=C(F)C=C3)=C1C,SÍ,398.48,3.33
DB01622,0.92,0.0012443481889575442,DENTRO,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)S(=O)(=O)N(C)C)CC1,SÍ,446.64,3.18
DB01809,0.92,0.0011377242135464662,DENTRO,CC1=CC=C(C=C1)C1=NN(C2=C1C(N)=NC=N2)C(C)(C)C,SÍ,281.36,3.14
DB04884,0.9193733313987299,0.0012529627086918143,DENTRO,CN(C)C(CCOC1=CC=CC2=CC=CC=C12)C1=CC=CC=C1,SÍ,305.42,4.91
DB04115,0.9163459730492007,0.0016073193885619312,DENTRO,COC1=CC=C2C=C3C4=CC5=C(OCO5)C=C4CC[N+]3=CC2=C1OC,SÍ,336.37,3.1
DB00546,0.9146476933669956,0.0007230408107329785,DENTRO,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,SÍ,351.84,3.33
DB04960,0.9146476933669956,0.0009552880771702676,DENTRO,CN1C=NC=C1C(N)(C1=CC=C(Cl)C=C1)C1=CC2=C(C=C1)N(C)C(=O)C=C2C1=CC(Cl)=CC=C1,SÍ,489.41,5.5
DB00246,0.91,0.0009011847870068616,DENTRO,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,SÍ,412.95,3.81
DB00298,0.91,0.0011702807356922642,DENTRO,CC1=CC=CC=C1N1CCN(CC1)CCC1=NN=C2CCCCN12,SÍ,325.46,2.29
DB00317,0.91,0.000849990112683923,DENTRO,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,SÍ,446.91,4.28
DB00735,0.91,0.0021653037387661146,DENTRO,CN(CC=CC1=CC=CC=C1)CC1=CC=CC2=CC=CC=C12,SÍ,287.41,4.99
DB00924,0.91,0.0011680123927492287,DENTRO,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12,SÍ,275.4,4.55
DB00990,0.91,0.002125345766896122,DENTRO,CC12CCC3C(CC(=C)C4=CC(=O)C=CC34C)C1CCC2=O,SÍ,296.41,4.03
DB01054,0.91,0.0018891189252201917,DENTRO,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,SÍ,360.37,2.57
DB01148,0.91,0.0007439243808396214,DENTRO,CC1=C(OC2=C(C=CC=C2C(=O)OCCN2CCCCC2)C1=O)C1=CC=CC=C1,SÍ,391.47,4.41
DB01393,0.91,0.0013194071946927444,DENTRO,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O,SÍ,361.83,3.55
DB01410,0.91,0.002406386453228674,DENTRO,CC(C)C(=O)OCC(=O)C12OC(OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C)C1CCCCC1,SÍ,540.7,4.7
DB01791,0.91,0.000763768983586575,DENTRO,COC1=CC=C(C=C1OC1CCCC1)C(=O)NC1=C(Cl)C=NC=C1Cl,SÍ,381.26,4.97
DB03600,0.91,0.0042570205725833985,DENTRO,CCCCCCCCCC(O)=O,SÍ,172.27,3.21
DB03838,0.91,0.0042570205725833985,DENTRO,CCCCCCCCCC(O)=O,SÍ,172.27,3.21
DB05252,0.91,0.0008187805688567602,DENTRO,CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,SÍ,361.78,4.6
DB06429,0.91,0.0013949681142598944,DENTRO,CCC(NC(=O)C1=C(O)C(=NC2=CC=CC=C12)C1=CC=CC=C1)C1=CC=CC=C1,SÍ,382.46,5.49
DB01553,0.906345973049201,0.0013671273817513958,DENTRO,ClC1=CC2=C(NC(=O)CN3CCOC23C2=CC=CC=C2Cl)C=C1,SÍ,349.22,3.48
DB01106,0.905008022927823,0.0019141524947625544,DENTRO,CC1CN(CCC1(C(O)=O)C1=CC=CC=C1)C1CCC(CC1)(C#N)C1=CC=C(F)C=C1,SÍ,420.53,4.89
DB00813,0.9046476933669956,0.0012675956846856292,DENTRO,CCC(=O)N(C1CCN(CC1)CCC1=CC=CC=C1)C1=CC=CC=C1,SÍ,336.48,4.14
DB00691,0.9046476933669956,0.0016680873664973424,DENTRO,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N1CC2=CC(OC)=C(OC)C=C2CC1C(O)=O,SÍ,498.58,2.58
DB06220,0.9046476933669956,0.0012675956846856292,DENTRO,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCC(=O)N(C1CCN(CC1)CCC1=CC=CC=C1)C1=CC=CC=C1,SÍ,528.6,2.89
DB05853,0.9046476933669956,0.0012675956846856292,DENTRO,CCC(=O)N(C1CCN(CC1)CCC1=CC=CC=C1)C1=CC=CC=C1,SÍ,336.48,4.14
DB00136,0.9,0.0026432318683033123,DENTRO,CC(CCCC(C)(C)O)C1CCC2C(CCCC12C)=CC=C1CC(O)CC(O)C1=C,SÍ,416.65,5.7
DB00962,0.9,0.0013269360945512895,DENTRO,CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N,SÍ,305.34,2.64
DB00343,0.9,0.001143034355199781,DENTRO,COC1=CC=C(C=C1)C1SC2=CC=CC=C2N(CCN(C)C)C(=O)C1OC(C)=O,SÍ,414.53,3.37
DB00655,0.9,0.0018793616500902945,DENTRO,CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2=O,SÍ,270.37,3.82
DB01205,0.9,0.0015804940850241596,DENTRO,CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1,SÍ,303.29,1.77
DB04575,0.9,0.0028391716663123106,DENTRO,CC12CCC3C(CCC4=C3C=CC(OC3CCCC3)=C4)C1CCC2(O)C#C,SÍ,364.53,5.23
DB01691,0.9,0.001284682646914403,DENTRO,CN(CC1=CN(C)C2=C1C=CC=C2)C(=O)C=CC1=CN=C2NC(=O)CCC2=C1,SÍ,374.44,3.13
DB03062,0.9,0.001574452242282736,DENTRO,CN1C=CN=C1C(=O)C1=C(C)C2=C(O1)C=CC=C2OCCCNCC1=CC=CN=C1,SÍ,404.47,3.66
DB03072,0.9,0.0005000362373385307,DENTRO,CC1=CC=CC2=C1N=C(CCCN1CCC(=CC1)C1=CC=C(F)C=C1)NC2=O,SÍ,377.46,4.09
DB03825,0.9,0.0009740770559700081,DENTRO,CCNC1=CC2=C(C=C1C)C(C1=CC=CC=C1C(=O)OCC)=C1C=C(C)C(C=C1O2)=[NH+]CC,SÍ,443.57,4.43
DB04859,0.9,0.0013826367820669334,DENTRO,O=C(CCC1CCN(CC1)CC1=CC=CC=C1)C1=CC2=C(CCCCN2)C=C1,SÍ,376.54,5.31
DB04879,0.9,0.001555384203063304,DENTRO,ClC1=CC=C(NC2=NN=C(CC3=CC=NC=C3)C3=CC=CC=C23)C=C1,SÍ,346.82,5.01
DB05314,0.9,0.0026432318683033123,DENTRO,CC(CCCC(C)(C)O)C1CCC2C1(C)CCCC2=CC=C1CC(O)CC(O)C1=C,SÍ,416.65,5.7
DB05416,0.9,0.003171986446906954,DENTRO,CC1=C(OCC(O)=O)C=CC(SCC2=C(C)N=C(S2)C2=CC=C(C=C2)C(F)(F)F)=C1,SÍ,453.51,6.2
DB03585,0.8963459730492009,0.0010015437408890525,DENTRO,CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1,SÍ,324.38,3.49
DB02567,0.8963459730492009,0.0015693884823810415,DENTRO,CSC1=CC=CC(NC2=NC=C3C=C(C(=O)N(C)C3=N2)C2=C(Cl)C=CC=C2Cl)=C1,SÍ,443.36,5.77
