ID_Molecula,Probabilidad_Permeable,LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m
Molecule3,0.6962835694528009,5.319,1,1.3594,8.1174,17.8882,0.7792,2.0068,6.5741,3.8775,39.6136,0.0545
Molecule2,0.6947897424146436,4.861,1,1.3594,8.2867,17.8882,0.7463,2.0068,6.462,3.9628,45.6795,-0.0373
Molecule4,0.6590332634398468,4.149,1,1.2738,7.5417,0.0,0.6496,2.0676,11.7666,3.4565,41.6323,0.018
Molecule1,0.6477998111343025,4.861,1,1.3563,8.2867,17.8882,0.7463,2.0068,5.9079,3.8095,45.6795,-0.0628
Molecule5,0.04501959745126907,1.3086,0,1.2508,8.1812,60.6941,0.6441,2.1017,4.3664,3.6607,37.5775,0.0433
