compound_id,series,scaffold,r_group,substituent,yield_percent,preliminary_smiles,source,valid_smiles,canonical_smiles,mw,logp,tpsa,hbd,hba,rotatable_bonds,heavy_atoms,lipinski_violations,lipinski_pass
B1,B,B,4-F,F,93,Cc1noc(/C=C/c2ccc(F)cc2)c1[N+](=O)[O-],scaffold template encoded in src/prepare_candidate_smiles.py,True,Cc1noc(/C=C/c2ccc(F)cc2)c1[N+](=O)[O-],248.213,3.201,69.17,0,4,3,18,0,True
B2,B,B,4-Cl,Cl,96,Cc1noc(/C=C/c2ccc(Cl)cc2)c1[N+](=O)[O-],scaffold template encoded in src/prepare_candidate_smiles.py,True,Cc1noc(/C=C/c2ccc(Cl)cc2)c1[N+](=O)[O-],264.668,3.715,69.17,0,4,3,18,0,True
B3,B,B,4-Br,Br,87,Cc1noc(/C=C/c2ccc(Br)cc2)c1[N+](=O)[O-],scaffold template encoded in src/prepare_candidate_smiles.py,True,Cc1noc(/C=C/c2ccc(Br)cc2)c1[N+](=O)[O-],309.119,3.824,69.17,0,4,3,18,0,True
B4,B,B,4-I,I,92,Cc1noc(/C=C/c2ccc(I)cc2)c1[N+](=O)[O-],scaffold template encoded in src/prepare_candidate_smiles.py,True,Cc1noc(/C=C/c2ccc(I)cc2)c1[N+](=O)[O-],356.119,3.666,69.17,0,4,3,18,0,True
B5,B,B,4-H,H,93,Cc1noc(/C=C/c2ccc([H])cc2)c1[N+](=O)[O-],scaffold template encoded in src/prepare_candidate_smiles.py,True,Cc1noc(/C=C/c2ccccc2)c1[N+](=O)[O-],230.223,3.062,69.17,0,4,3,17,0,True
B6,B,B,4-OCH3,OCH3,41,Cc1noc(/C=C/c2ccc(OC)cc2)c1[N+](=O)[O-],scaffold template encoded in src/prepare_candidate_smiles.py,True,COc1ccc(/C=C/c2onc(C)c2[N+](=O)[O-])cc1,260.249,3.07,78.4,0,5,4,19,0,True
B7,B,B,4-N(CH3)2,N(CH3)2,25,Cc1noc(/C=C/c2ccc(N(C)C)cc2)c1[N+](=O)[O-],scaffold template encoded in src/prepare_candidate_smiles.py,True,Cc1noc(/C=C/c2ccc(N(C)C)cc2)c1[N+](=O)[O-],273.292,3.128,72.41,0,5,4,20,0,True
