@relation J48_training-comb.arff-weka.filters.unsupervised.attribute.Remove-R25

@attribute Psi_e_A numeric
@attribute PCR numeric
@attribute GATS8i numeric
@attribute nRCOOH numeric
@attribute nImidazoles numeric
@attribute SaaCH numeric
@attribute CATS2D_07_AP numeric
@attribute SHED_LL numeric
@attribute B05[N-O] numeric
@attribute B06[C-C] numeric
@attribute B07[C-O] numeric
@attribute B08[C-C] numeric
@attribute F03[N-S] numeric
@attribute F09[N-N] numeric
@attribute F09[N-N] numeric
@attribute MACCSFP8 numeric
@attribute MACCSFP37 numeric
@attribute MACCSFP38 numeric
@attribute MACCSFP48 numeric
@attribute MACCSFP49 numeric
@attribute MACCSFP62 numeric
@attribute MACCSFP80 numeric
@attribute MACCSFP84 numeric
@attribute MACCSFP125 numeric
@attribute Actividad {Act1,Act-1}

@data
7.9653,1.3372,1.3379,0,0,3.1586,0,15.4521,1,1,1,1,2,0,0,0,0,1,0,0,0,1,1,1,Act1
7.9259,1.3444,1.1212,0,0,20.4024,0,17.9414,1,1,1,1,2,0,0,0,0,1,0,0,0,1,1,1,Act1
7.8476,1.1513,0.8534,0,0,1.9609,0,12.321,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
8.5111,1.3101,1.1791,1,0,5.9239,0,3.7798,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.8816,1.0609,0.4643,0,0,0,0,7.4222,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Act-1
9.057,1.2661,0.9089,0,0,3.7214,0,7.2158,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Act1
8.0812,1.623,1.0775,0,0,31.7421,1,14.2761,1,1,1,1,0,11,11,0,1,0,0,0,0,0,1,1,Act-1
7.6898,1.2236,0.175,0,0,1.6741,0,6.3633,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.9704,1.1158,0.7627,0,0,0,0,10.4133,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.7333,1.2681,0.7953,0,0,7.9186,0,7.1749,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.9922,1.0317,1.0301,0,0,0,0,17.6572,1,1,1,1,0,11,11,0,0,0,0,0,0,0,0,0,Act-1
8.5833,1.2399,0,1,0,0,0,3.5961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.2593,1.2096,0.9247,1,0,5.8906,0,10.9033,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,Act-1
8.5633,1.2067,1.5828,0,0,0,0,9.0798,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.49,1.1651,0.8304,0,0,8.7281,0,7.568,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.6898,1.1951,0.4663,0,0,0,0,5.5454,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Act-1
7.5641,1.2653,0.8659,0,0,10.2228,0,2.8717,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.5573,1.2291,0.4059,1,0,4.116,1,4.436,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Act-1
8.0181,1.4044,1.0478,0,0,11.2632,0,4.6427,1,1,0,1,0,2,2,0,0,0,0,0,1,1,0,1,Act1
7.9949,1.4583,1.127,0,0,14.3277,0,14.9221,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,Act1
7.325,1.0549,0.7609,0,0,0,0,6.2442,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.3382,1.3426,0.8362,0,0,17.6642,0,6.2761,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Act1
8.0139,1.1797,1.1155,0,0,5.2794,0,6.0922,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,Act1
7.7523,1.112,1.0221,0,0,0,0,9.4242,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
