,Accuracy,BACC,Sensitivity,Specificity,Kappa,ROC_AUC
DecisionTree_J48_like,0.6575529895602656,0.6572091253226109,0.6620942005062178,0.652324050139004,0.3134896681041296,0.6587396813059015
LogisticRegression,0.7303211009174312,0.7233672854426982,0.8220333076556251,0.6247012632297712,0.45177095830683667,0.779294195241537
kNN_IBk_like_k5,0.6995613202573026,0.6942399904283216,0.7697388210263747,0.6187411598302687,0.39145824645036387,0.7540179042807231
RandomForest,0.7358262153327007,0.7317257477145939,0.7898866512600418,0.673564844169146,0.46596050175155457,0.8120677145830563
SVM,0.7066703574818096,0.6977920305598093,0.8237555482190675,0.5718285129005511,0.4015672518876194,0.7527118392891254
